Entry,Identity,M+.,[M+H]+,CCS (Å2),Sourceb,Retention time (min)
461,"2,2',3,4',5,5'-Hexachlorodiphenyl Ether",375.8359,376.8437,179.96,Predicted,21.9
462,"2,2',4,4',5,6'-Hexachlorodiphenyl Ether",375.8359,376.8437,177.13,Predicted,21.91
463,"2,2',3,4,4',5'-Hexachlorodiphenyl Ether",375.8359,376.8437,178.82,Predicted,21.91
464,"2,2',3,4,4',5-Hexachlorodiphenyl Ether",375.8359,376.8437,176.86,Predicted,21.92
465,"2,2',3,3',5,6-Hexachlorodiphenyl Ether",375.8359,376.8437,176.99,Predicted,21.97
466,"2,3,4,4',5,6-Hexachlorodiphenyl Ether",375.8359,376.8437,172.81,Predicted,22.01
467,"2,2',3,4',5',6-Hexachlorodiphenyl Ether",375.8359,376.8437,174.56,Predicted,22.03
468,"2,2',3,3',4,4'-Hexachlorodiphenyl Ether",375.8359,376.8437,177.96,Predicted,22.04
469,"2,2',3,4,5,6-Hexachlorodiphenyl Ether",375.8359,376.8437,171.46,Predicted,22.1
470,"2,3,3',4',5,6-Hexachlorodiphenyl Ether",375.8359,376.8437,178.78,Predicted,22.13
471,"2,2',3,4,5,5'-Hexachlorodiphenyl Ether",375.8359,376.8437,176.39,Predicted,22.14
472,"2,3,3',4,5,5'-Hexachlorodiphenyl Ether",375.8359,376.8437,177.75,Predicted,22.15
473,"2,2',3,3',4,6'-Hexachlorodiphenyl Ether",375.8359,376.8437,173.08,Predicted,22.16
474,"2,3,3',4,4',6-Hexachlorodiphenyl Ether",375.8359,376.8437,175.42,Predicted,22.21
475,"2,2',3,4,6,6'-Hexachlorodiphenyl Ether",375.8359,376.8437,170.21,Predicted,22.3
476,"2,3,3',4,5,6-Hexachlorodiphenyl Ether",375.8359,376.8437,172.03,Predicted,22.34
477,"2,2',3,3',4,5-Hexachlorodiphenyl Ether",375.8359,376.8437,177.90,Predicted,22.36
478,"2,2',3,5,6,6'-Hexachlorodiphenyl Ether",375.8359,376.8437,171.41,Predicted,22.38
479,"2,2',3,3',6,6'-Hexachlorodiphenyl Ether",375.8359,376.8437,171.81,Predicted,22.44
480,"2,3,3',4,4',5-Hexachlorodiphenyl Ether",375.8359,376.8437,177.82,Predicted,22.44
481,"2,2',3,4,5,6'-Hexachlorodiphenyl Ether",375.8359,376.8437,170.47,Predicted,22.69
482,"3,3',4,4',5,5'-Hexachlorodiphenyl Ether",375.8359,376.8437,179.58,Predicted,22.72
483,"2,3,3',4,4',5'-Hexachlorodiphenyl Ether",375.8359,376.8437,178.73,Predicted,22.87
