Entry,Identity,M+.,[M+H]+,CCS (Å2),Sourceb,Retention time (min)
81,"4-(1,1,3,3-Tetramethylbutyl)phenol",206.1666,207.1744,156.73,Measured,13.86
82,Clofibric acid,214.0392,215.0470,146.60,Measured,12.54
83,Isononylphenol,220.1822,221.1900,156.56,Predicted,14.81
84,"4-(1,1,5-Trimethylhexyl)phenol",220.1822,221.1900,158.86,Predicted,15.14
85,"4-(1-Ethyl-1,4-dimethylpentyl)phenol",220.1822,221.1900,157.95,Predicted,15.17
86,"4-(1-Ethyl-1,3-dimethylpentyl)phenol",220.1822,221.1900,153.32,Predicted,15.22
87,Nonylphenol,220.1822,221.1900,155.82,Predicted,15.23
88,4-(3-Ethylheptan-2-yl)phenol,220.1822,221.1900,156.17,Predicted,15.36
89,"P-(1,1-dimethylheptyl)phenol",220.1822,221.1900,158.81,Predicted,15.44
90,4-(1-Ethyl-1-methylhexyl)phenol,220.1822,221.1900,157.29,Predicted,15.68
91,P-(1-methyloctyl)phenol,220.1822,221.1900,155.75,Predicted,15.81
92,P-isononylphenol,220.1822,221.1900,158.19,Predicted,16.41
93,P-nonylphenol,220.1822,221.1900,159.64,Measured,17.06
94,Diethyl phthalate,222.0887,223.0965,157.69,Predicted,11.34
95,Hydroxy-Ibuprofen,222.1251,223.1329,146.67,Predicted,15.77
96,Bis(2-(2-methoxyethoxy)ethyl)ether,222.1462,223.1540,152.10,Predicted,12.23
97,Tripropyl phosphate,224.1172,225.1250,149.05,Measured,10.82
98,O-aminoazotoluene,225.1261,226.1339,156.22,Measured,19.74
99,"4,4'-Methylenedi-o-toluidine",226.1465,227.1543,168.98,Measured,19.86
100,Benzophenone-3,228.0781,229.0859,146.43,Measured,15.7
101,Benz[a]anthracene,228.0934,229.1012,144.42,Measured,16
102,Chrysene,228.0934,229.1012,143.58,Measured,21.57
103,Bisphenol A,228.1145,229.1223,149.50,Measured,18.12
104,Amiloride,229.0474,230.0552,145.71,Measured,19.35
105,Trichloronaphthalene 19,229.9452,230.9530,141.23,Predicted,14.87
106,Trichloronaphthalene 20,229.9452,230.9530,142.39,Predicted,14.87
107,Trichloronaphthalene 13,229.9452,230.9530,142.71,Predicted,15.25
108,Trichloronaphthalene 21,229.9452,230.9530,141.83,Predicted,15.59
109,Trichloronaphthalene 14,229.9452,230.9530,144.68,Predicted,15.59
110,Trichloronaphthalene 25,229.9452,230.9530,142.02,Predicted,15.76
111,Trichloronaphthalene 24,229.9452,230.9530,137.70,Predicted,15.81
112,Trichloronaphthalene 15,229.9452,230.9530,141.06,Predicted,15.89
113,Trichloronaphthalene 22,229.9452,230.9530,141.84,Predicted,15.99
114,Trichloronaphthalene 16,229.9452,230.9530,141.57,Predicted,16.03
115,Trichloronaphthalene 26,229.9452,230.9530,142.40,Predicted,16.2
116,Trichloronaphthalene 17,229.9452,230.9530,141.87,Predicted,16.31
117,Trichloronaphthalene 23,229.9452,230.9530,135.64,Predicted,16.58
118,Trichloronaphthalene 18,229.9452,230.9530,142.23,Predicted,16.59
119,Naproxen,230.0938,231.1016,147.82,Predicted,18.33
120,Lidocaine,234.1727,235.1805,156.71,Measured,16.72
121,"Phenol, dodecyl-, branched",234.1979,235.2057,157.81,Predicted,16.96
122,Carbamazepine,236.0945,237.1023,149.09,Measured,20.78
123,Carboxy-Ibuprofen,236.1044,237.1122,149.48,Predicted,17.25
124,6-Dichlorodiphenyl Ether,237.9947,239.0025,144.19,Predicted,14.76
125,"2,5-Dichlorodiphenyl Ether",237.9947,239.0025,149.30,Predicted,15.06
126,"2,4-Dichlorodiphenyl Ether",237.9947,239.0025,150.51,Predicted,15.13
127,"2,3-Dichlorodiphenyl Ether",237.9947,239.0025,149.97,Predicted,15.35
128,"2,2'-Dichlorodiphenyl Ether",237.9947,239.0025,147.67,Predicted,15.45
129,"3,4-Dichlorodiphenyl Ether",237.9947,239.0025,151.74,Predicted,15.62
130,"4,4'-Dichlorodiphenyl Ether",237.9947,239.0025,150.91,Predicted,15.65
131,"3,5-Dichlorodiphenyl Ether",237.9947,239.0025,151.91,Predicted,15.69
132,"2,4'-Dichlorodiphenyl Ether",237.9947,239.0025,149.91,Predicted,15.98
133,"2,3'-Dichlorodiphenyl Ether",237.9947,239.0025,149.48,Predicted,16.15
134,"3,3'-Dichlorodiphenyl Ether",237.9947,239.0025,150.17,Predicted,16.42
135,"3,4'-Dichlorodiphenyl Ether",237.9947,239.0025,151.59,Predicted,16.57
136,"Terphenyl, hydrogenated",238.1717,239.1795,158.59,Predicted,18.95
137,"1,7,7-Trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one",240.1509,241.1587,160.78,Predicted,17.07
138,Fenoprofen,242.0938,243.1016,152.66,Predicted,18.44
139,"4,4'-(1-Methylpropylidene)bisphenol",242.1302,243.1380,166.20,Measured,20.15
140,Celestolide,244.1822,245.1900,161.61,Predicted,14.57
141,Phantolide,244.1822,245.1900,155.57,Predicted,15.06
142,"Isononylphenol, ethoxylated",248.2135,249.2213,165.94,Predicted,16.3
143,"4,4'-Sulphonyldiphenol",250.0295,251.0373,154.25,Measured,21.1
144,Gemfibrozil,250.1564,251.1642,157.55,Measured,17.06
145,"2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethanol",250.1928,251.2006,162.45,Predicted,16.3
146,"Polyethylene glycol p-(1,1,3,3-tetramethylbutyl)phenyl ether",250.1928,251.2006,162.45,Predicted,16.3
147,"2,4-Dibromophenol",251.8604,252.8682,134.30,Predicted,10.57
148,"2,6-Dibromophenol",251.8604,252.8682,122.05,Measured,11.4
149,Benzo[b]fluoranthene,252.0934,253.1012,150.89,Measured,17.05
150,Benzo[k]fluoranthene,252.0934,253.1012,151.89,Measured,17.05
151,Benzo[a]pyrene,252.0934,253.1012,149.84,Measured,17.35
152,Sulfamethoxazole,253.0516,254.0594,151.64,Measured,17.15
153,Ketoprofen,254.0938,255.1016,156.95,Measured,19.74
154,"(3E)-1,7,7-Trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",254.1666,255.1744,164.32,Predicted,17.61
155,"(±)-1,7,7-Trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one",254.1666,255.1744,164.89,Predicted,17.61
156,"(1S,3E,4R)-1,7,7-Trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",254.1666,255.1744,165.55,Predicted,17.61
157,"(1R,3E,4S)-1,7,7-Trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one",254.1666,255.1744,164.92,Predicted,17.61
158,Tonalide,258.1979,259.2057,168.29,Measured,15.62
159,Traseolide,258.1979,259.2057,168.93,Measured,17.32
160,Galaxolide,258.1979,259.2057,162.68,Predicted,21.95
161,Propranolol,259.1567,260.1645,161.79,Measured,19.41
162,Cyclophosfamide,260.0243,261.0321,146.25,Measured,16.01
163,Ifosfamide,260.0243,261.0321,146.93,Measured,18.14
164,"2,2-Bis(bromomethyl)propane-1,3-diol",261.9022,262.9100,141.42,Predicted,13.3
165,"Phenol, tetrapropylene-",262.2292,263.2370,166.42,Predicted,17.9
166,"Phenol, 4-dodecyl, branched",262.2292,263.2370,165.30,Predicted,18.13
167,4-Isododecylphenol,262.2292,263.2370,172.07,Predicted,19.83
168,"2-[4-(3,6-Dimethylheptan-3-yl)phenoxy]ethanol",264.2084,265.2162,168.51,Predicted,17.31
169,2-(Isononylphenoxy)ethanol,264.2084,265.2162,166.72,Predicted,17.69
170,2-(Nonylphenoxy)ethanol,264.2084,265.2162,165.86,Predicted,18.02
171,"4-Nonylphenol, ethoxylated",264.2084,265.2162,168.17,Predicted,18.94
172,Pentachlorophenol,265.8436,266.8514,134.35,Measured,18.2
173,"2,6-Dibromoanisole",265.8760,266.8838,140.73,Predicted,11.75
174,"2,4-Dibromoanisole",265.8760,266.8838,140.54,Predicted,17.08
175,Chlorothalonil,265.8781,266.8859,150.03,Measured,13.1
176,Tetrachloronaphthalene 43,265.9033,266.9111,148.18,Predicted,15.91
177,Tetrachloronaphthalene 32,265.9033,266.9111,151.04,Predicted,16.63
178,Tetrachloronaphthalene 34,265.9033,266.9111,150.56,Predicted,16.83
179,Tetrachloronaphthalene 28,265.9033,266.9111,149.29,Predicted,16.88
180,Tetrachloronaphthalene 29,265.9033,266.9111,148.95,Predicted,16.93
181,Tetrachloronaphthalene 45,265.9033,266.9111,150.27,Predicted,17.06
182,Tetrachloronaphthalene 44,265.9033,266.9111,150.70,Predicted,17.17
183,Tetrachloronaphthalene 46,265.9033,266.9111,143.52,Predicted,17.2
184,Tetrachloronaphthalene 33,265.9033,266.9111,150.49,Predicted,17.25
185,Tetrachloronaphthalene 47,265.9033,266.9111,149.25,Predicted,17.29
186,Tetrachloronaphthalene 40,265.9033,266.9111,150.07,Predicted,17.3
187,Tetrachloronaphthalene 27,265.9033,266.9111,148.70,Predicted,17.44
188,Tetrachloronaphthalene 38,265.9033,266.9111,148.66,Predicted,17.52
189,Tetrachloronaphthalene 30,265.9033,266.9111,149.58,Predicted,17.71
190,Tetrachloronaphthalene 48,265.9033,266.9111,152.28,Predicted,17.77
191,Tetrachloronaphthalene 41,265.9033,266.9111,152.26,Predicted,17.83
192,Tetrachloronaphthalene 42,265.9033,266.9111,150.75,Predicted,17.84
193,Tetrachloronaphthalene 35,265.9033,266.9111,150.72,Predicted,18.05
194,Tetrachloronaphthalene 37,265.9033,266.9111,150.43,Predicted,18.1
195,Tetrachloronaphthalene 39,265.9033,266.9111,152.07,Predicted,18.29
196,Tetrachloronaphthalene 36,265.9033,266.9111,151.51,Predicted,18.34
197,Tetrachloronaphthalene 31,265.9033,266.9111,149.38,Predicted,18.53
198,"2,2'-Dichloro-4,4'-methylenedianiline",266.0373,267.0451,171.26,Measured,22.71
199,Musk Tibetene,266.1262,267.1340,158.89,Predicted,17.05
200,Atenolol,266.1625,267.1703,158.75,Measured,20.92
201,Tri-iso-butyl phosphate,266.1642,267.1720,165.44,Measured,12.37
202,Tributyl phosphate,266.1642,267.1720,168.44,Measured,13.46
203,"1,3-Dioxane, 2-(2,4-dimethyl-3-cyclohexen-1-yl)-5-methyl-5-(1-methylpropyl)-",266.2241,267.2319,165.36,Predicted,15.43
204,"1,3-Dioxane, 2-[(1R,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-rel-",266.2241,267.2319,165.82,Predicted,15.43
205,"1,3-Dioxane, 2-[(1S,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-",266.2241,267.2319,166.34,Predicted,15.43
206,"1,3-Dioxane, 2-[(1S,2R)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-",266.2241,267.2319,165.80,Predicted,15.43
207,"1,3-Dioxane, 2-[(1R,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, cis-",266.2241,267.2319,166.35,Predicted,15.43
208,Metoprolol,267.1829,268.1907,171.84,Measured,18.35
209,"4,4'-Bis(dimethylamino)benzophenone",268.1571,269.1649,165.02,Predicted,21.07
210,Sulfmethizole,270.0240,271.0318,154.83,Measured,36.9
211,"2,2-Bis(4'-hydroxyphenyl)-4-methylpentane",270.1615,271.1693,167.19,Predicted,21.15
212,Estrone,270.1615,271.1693,165.76,Predicted,24.1
213,"2,4,6-Trichlorodiphenyl Ether",271.9557,272.9635,156.36,Predicted,16.19
214,"2,3,5-Trichlorodiphenyl Ether",271.9557,272.9635,159.02,Predicted,16.67
215,"2,4,5-Trichlorodiphenyl Ether",271.9557,272.9635,159.61,Predicted,16.79
216,"2,3,4-Trichlorodiphenyl Ether",271.9557,272.9635,156.54,Predicted,16.93
217,"2,3,6-Trichlorodiphenyl Ether",271.9557,272.9635,153.32,Predicted,17.03
218,"2,4,4'-Trichlorodiphenyl Ether",271.9557,272.9635,159.15,Predicted,17.05
219,"2,4',5-Trichlorodiphenyl Ether",271.9557,272.9635,157.36,Predicted,17.09
220,"2,2',6-Trichlorodiphenyl Ether",271.9557,272.9635,151.42,Predicted,17.31
221,"2,2',5-Trichlorodiphenyl Ether",271.9557,272.9635,155.75,Predicted,17.34
222,"2,2',4-Trichlorodiphenyl Ether",271.9557,272.9635,156.13,Predicted,17.37
223,"2,3',6-Trichlorodiphenyl Ether",271.9557,272.9635,151.19,Predicted,17.39
224,"3,4,4'-Trichlorodiphenyl Ether",271.9557,272.9635,161.33,Predicted,17.54
225,"2,3',5-Trichlorodiphenyl Ether",271.9557,272.9635,156.51,Predicted,17.62
226,"2,2',3-Trichlorodiphenyl Ether",271.9557,272.9635,156.39,Predicted,17.66
227,"3,4',5-Trichlorodiphenyl Ether",271.9557,272.9635,161.15,Predicted,17.67
228,"2,3',4-Trichlorodiphenyl Ether",271.9557,272.9635,158.02,Predicted,17.85
229,"2',3,4-Trichlorodiphenyl Ether",271.9557,272.9635,159.52,Predicted,17.86
230,"2',3,5-Trichlorodiphenyl Ether",271.9557,272.9635,158.19,Predicted,17.88
231,"2,3,4'-Trichlorodiphenyl Ether",271.9557,272.9635,159.17,Predicted,18.06
232,"3,4,5-Trichlorodiphenyl Ether",271.9557,272.9635,158.27,Predicted,18.08
233,"2,3,3'-Trichlorodiphenyl Ether",271.9557,272.9635,157.46,Predicted,18.14
234,"2,4',6-Trichlorodiphenyl Ether",271.9557,272.9635,152.34,Predicted,18.21
235,"3,3',5-Trichlorodiphenyl Ether",271.9557,272.9635,159.18,Predicted,18.38
236,"3,3',4-Trichlorodiphenyl Ether",271.9557,272.9635,159.50,Predicted,18.4
237,Sotalol,272.1190,273.1268,166.48,Measured,19.75
238,17b-Estradiol,272.1771,273.1849,167.23,Predicted,23.8
239,"Indeno[1,2,3-cd]pyrene",276.0934,277.1012,156.69,Measured,18.34
240,"Benzo[g,h,i]perylene",276.0934,277.1012,154.46,Measured,26.82
241,Venlafaxine,277.2037,278.2115,170.71,Measured,22.09
242,Sulfamethazine,278.0832,279.0910,162.16,Measured,22.84
243,"Dibenz[a,h]anthracene",278.1091,279.1169,160.90,Measured,26.63
244,Diisobutyl phthalate,278.1513,279.1591,171.43,Predicted,14.51
245,Di-n-butyl phthalate,278.1513,279.1591,176.22,Predicted,15.66
246,2-Methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one,279.1288,280.1366,168.12,Predicted,18.58
247,Pentachloroanisole,279.8592,280.8670,148.24,Predicted,14.64
248,tris(2-methoxyethoxy)vinylsilane,280.1337,281.1415,159.10,Predicted,11.94
249,Bis(2-methoxyethyl) phthalate,282.1098,283.1176,165.67,Predicted,13.57
250,Tris(2-chloroethyl)phosphate,283.9534,284.9612,150.36,Measured,15.29
251,"Phenol, p-sec-nonyl-, phosphite",284.1536,285.1614,170.73,Predicted,18.32
252,Bis(4-chlorophenyl) sulphone,285.9617,286.9695,157.48,Measured,19.5
253,Triclosan,287.9507,288.9585,158.40,Measured,19.06
254,Estriol,288.1720,289.1798,165.62,Predicted,25.19
255,Ethylhexylmethoxycinnamate,290.1877,291.1955,172.88,Predicted,32.09
256,Desmethylsertraline,291.0577,292.0655,166.84,Predicted,21.47
257,Musk keton,294.1211,295.1289,170.47,Measured,16.71
258,"2-[2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethoxy]ethanol",294.2190,295.2268,175.22,Predicted,19.4
259,Pentrachloronitrobenzene,294.8337,295.8415,146.24,Measured,11.81
260,Diclofenac,295.0162,296.0240,158.05,Measured,20.45
261,Norfluoxetine,295.1179,296.1257,164.04,Predicted,16.73
262,Didesmethylcitalopram,296.1320,297.1398,169.93,Predicted,21.65
263,Didesmethylcitalopram ,296.1320,297.1398,169.93,Predicted,21.65
264,17a-Ethynylestradiol,296.1771,297.1849,173.98,Predicted,23.88
265,Musk xylene,297.0956,298.1034,168.06,Measured,16.39
266,"1,3,5-Tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione",297.0956,298.1034,164.68,Predicted,21.91
267,"1,3,5-Tris[(2S and 2R)-2,3-epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione",297.0956,298.1034,163.37,Predicted,21.91
268,Pentachloronaphthalene 60,299.8643,300.8721,159.40,Predicted,17.62
269,Pentachloronaphthalene 53,299.8643,300.8721,155.70,Predicted,17.82
270,Pentachloronaphthalene 58,299.8643,300.8721,158.91,Predicted,18.77
271,Pentachloronaphthalene 61,299.8643,300.8721,159.18,Predicted,18.83
272,Pentachloronaphthalene 49,299.8643,300.8721,155.64,Predicted,18.88
273,Pentachloronaphthalene 59,299.8643,300.8721,158.24,Predicted,18.98
274,Pentachloronaphthalene 62,299.8643,300.8721,158.80,Predicted,19.23
275,Pentachloronaphthalene 57,299.8643,300.8721,158.71,Predicted,19.24
276,Pentachloronaphthalene 50,299.8643,300.8721,154.97,Predicted,19.33
277,Pentachloronaphthalene 56,299.8643,300.8721,156.84,Predicted,19.38
278,Pentachloronaphthalene 55,299.8643,300.8721,156.79,Predicted,19.5
279,Pentachloronaphthalene 54,299.8643,300.8721,157.09,Predicted,19.5
280,Pentachloronaphthalene 52,299.8643,300.8721,158.11,Predicted,19.7
281,Pentachloronaphthalene 51,299.8643,300.8721,156.71,Predicted,19.87
282,Mesterone ,302.2241,303.2319,177.54,Predicted,23.52
283,Cocaine,303.1466,304.1544,169.61,Predicted,19.63
284,Diazinon,304.1006,305.1084,172.27,Measured,15.7
285,Sertraline,305.0733,306.0811,171.42,Predicted,16.62
286,Butyldiphenyl phosphate,306.1016,307.1094,172.16,Predicted,23.01
287,Dipentyl phthalate,306.1826,307.1904,183.82,Predicted,17.59
288,Diisopentyl phthalate,306.1826,307.1904,184.49,Predicted,18.41
289,N-pentyl-isopentyl phthalate,306.1826,307.1904,184.14,Predicted,18.9
290,"2,3,4,6-Tetrachlorodiphenyl Ether",307.9139,308.9217,161.74,Predicted,18.02
291,"2,3,5,6-Tetrachlorodiphenyl Ether",307.9139,308.9217,163.52,Predicted,18.26
292,"2,4,4',6-Tetrachlorodiphenyl Ether",307.9139,308.9217,161.95,Predicted,18.33
293,"2,3,4',5-Tetrachlorodiphenyl Ether",307.9139,308.9217,166.68,Predicted,18.59
294,"2,2',4,6-Tetrachlorodiphenyl Ether",307.9139,308.9217,162.21,Predicted,18.61
295,"2,2',5,5'-Tetrachlorodiphenyl Ether",307.9139,308.9217,162.95,Predicted,18.62
296,"2,2',4,5'-Tetrachlorodiphenyl Ether",307.9139,308.9217,164.64,Predicted,18.7
297,"2,3',4,6-Tetrachlorodiphenyl Ether",307.9139,308.9217,162.21,Predicted,18.7
298,"2,3,4,5-Tetrachlorodiphenyl Ether",307.9139,308.9217,163.57,Predicted,18.73
299,"2,4,4',5-Tetrachlorodiphenyl Ether",307.9139,308.9217,167.45,Predicted,18.77
300,"2,2',4,4'-Tetrachlorodiphenyl Ether",307.9139,308.9217,163.95,Predicted,18.78
301,"2,3,4,4'-Tetrachlorodiphenyl Ether",307.9139,308.9217,165.46,Predicted,18.8
302,"2,2',3,5-Tetrachlorodiphenyl Ether",307.9139,308.9217,165.14,Predicted,18.8
303,"2,2',3,5'-Tetrachlorodiphenyl Ether",307.9139,308.9217,164.32,Predicted,18.87
304,"2,2',4,5-Tetrachlorodiphenyl Ether",307.9139,308.9217,164.49,Predicted,18.98
305,"2,2',3,4-Tetrachlorodiphenyl Ether",307.9139,308.9217,162.20,Predicted,19.04
306,"2,3',4,5'-Tetrachlorodiphenyl Ether",307.9139,308.9217,165.99,Predicted,19.11
307,"2,3,3',5-Tetrachlorodiphenyl Ether",307.9139,308.9217,165.19,Predicted,19.13
308,"2,2',3,4'-Tetrachlorodiphenyl Ether",307.9139,308.9217,164.83,Predicted,19.16
309,"2,3,4',6-Tetrachlorodiphenyl Ether",307.9139,308.9217,161.79,Predicted,19.16
310,"2,3',4,4'-Tetrachlorodiphenyl Ether",307.9139,308.9217,166.69,Predicted,19.2
311,"2,2',6,6'-Tetrachlorodiphenyl Ether",307.9139,308.9217,155.55,Predicted,19.28
312,"2,3',4',5-Tetrachlorodiphenyl Ether",307.9139,308.9217,165.67,Predicted,19.28
313,"2,3',4,5-Tetrachlorodiphenyl Ether",307.9139,308.9217,165.78,Predicted,19.28
314,"2,2',5,6'-Tetrachlorodiphenyl Ether",307.9139,308.9217,157.78,Predicted,19.29
315,"2,3',5,5'-Tetrachlorodiphenyl Ether",307.9139,308.9217,164.97,Predicted,19.34
316,"3,3',5,5'-Tetrachlorodiphenyl Ether",307.9139,308.9217,165.63,Predicted,19.39
317,"2,3,3',4-Tetrachlorodiphenyl Ether",307.9139,308.9217,164.62,Predicted,19.42
318,"2,2',3,6-Tetrachlorodiphenyl Ether",307.9139,308.9217,159.68,Predicted,19.43
319,"2,2',3,3'-Tetrachlorodiphenyl Ether",307.9139,308.9217,165.06,Predicted,19.45
320,"2,2',4,6'-Tetrachlorodiphenyl Ether",307.9139,308.9217,158.33,Predicted,19.46
321,"2,3,3',6-Tetrachlorodiphenyl Ether",307.9139,308.9217,160.86,Predicted,19.51
322,"2,3,3',5'-Tetrachlorodiphenyl Ether",307.9139,308.9217,166.11,Predicted,19.76
323,"2,2',3,6'-Tetrachlorodiphenyl Ether",307.9139,308.9217,159.00,Predicted,19.83
324,"2,3,3',4'-Tetrachlorodiphenyl Ether",307.9139,308.9217,166.21,Predicted,19.84
325,"3,3',4,5'-Tetrachlorodiphenyl Ether",307.9139,308.9217,166.87,Predicted,19.88
326,"2,3',4',6-Tetrachlorodiphenyl Ether",307.9139,308.9217,160.23,Predicted,20.02
327,"2,3',5',6-Tetrachlorodiphenyl Ether",307.9139,308.9217,160.60,Predicted,20.02
328,"3,4,4',5-Tetrachlorodiphenyl Ether",307.9139,308.9217,167.47,Predicted,20.06
329,"3,3',4,4'-Tetrachlorodiphenyl Ether",307.9139,308.9217,168.95,Predicted,20.18
330,"2',3,4,5-Tetrachlorodiphenyl Ether",307.9139,308.9217,165.01,Predicted,20.22
331,"3,3',4,5-Tetrachlorodiphenyl Ether",307.9139,308.9217,166.19,Predicted,20.63
332,Warfarin,308.1044,309.1122,166.35,Measured,22.95
333,"2-{2-[4-(3,6-Dimethylheptan-3-yl)phenoxy]ethoxy}ethanol",308.2346,309.2424,181.31,Predicted,20.12
334,2-[2-(Nonylphenoxy)ethoxy]ethanol,308.2346,309.2424,180.09,Predicted,20.5
335,4-t-Nonylphenol-diethoxylate,308.2346,309.2424,181.17,Predicted,20.53
336,2-[2-(4-Nonylphenoxy)ethoxy]ethanol,308.2346,309.2424,180.95,Predicted,21.76
337,Fluoxetine,309.1335,310.1413,175.00,Measured,21.62
338,Desmethylcitalopram,310.1476,311.1554,173.63,Predicted,13.26
339,Butyl benzyl phthalate,312.1357,313.1435,181.27,Predicted,18.17
340,"1,3,5-Tribromobenzene",313.7759,314.7837,128.32,Predicted,11.4
341,"1,2,3-Tribromobenzne",313.7759,314.7837,149.10,Predicted,12.35
342,Phenolphthalein,318.0887,319.0965,172.10,Measured,26.56
343,Fluvoxamine,318.1550,319.1628,167.77,Predicted,8.52
344,Norfloxacin,319.1327,320.1405,179.42,Measured,25.72
345,Gliclazide,323.1299,324.1377,177.55,Measured,22.63
346,2-(2H-Benzotriazol-2-yl)-4-(tert-butyl)-6-(sec-butyl)phenol,323.1993,324.2071,181.32,Predicted,22.44
347,"2-Benzotriazol-2-yl-4,6-di-tert-butylphenol",323.1993,324.2071,183.61,Predicted,22.93
348,Citalopram,324.1633,325.1711,179.85,Measured,11.16
349,Tris(chloroiso-propyl)phosphate,326.0003,327.0081,161.77,Measured,16.01
350,Triphenyl phosphate,326.0703,327.0781,171.41,Measured,18.43
351,"(2R,4R,6s,8S,10S)-2,4,6,8,10-Pentachloroundecane",327.9895,328.9973,159.65,Predicted,16.74
352,Paroxetine,329.1422,330.1500,180.48,Predicted,22.73
353,"2,4,6-Tribromophenol",329.7709,330.7787,131.09,Measured,11.69
354,Furosemide,330.0072,331.0150,169.30,Measured,21.86
355,Dicyclohexyl phthalate,330.1826,331.1904,189.17,Predicted,18.79
356,Ciprofloxacin,331.1327,332.1405,181.78,Measured,23.46
357,Dacthal,331.8987,332.9065,163.81,Predicted,17.92
358,Hexachloronaphthalene 68,333.8253,334.8331,164.24,Predicted,19.27
359,Hexachloronaphthalene 67,333.8253,334.8331,162.89,Predicted,19.35
360,Hexachloronaphthalene 71,333.8253,334.8331,166.70,Predicted,19.55
361,Hexachloronaphthalene 66,333.8253,334.8331,163.83,Predicted,20.06
362,Hexachloronaphthalene 64,333.8253,334.8331,162.00,Predicted,20.81
363,Hexachloronaphthalene 72,333.8253,334.8331,166.53,Predicted,20.9
364,Hexachloronaphthalene 69,333.8253,334.8331,164.78,Predicted,20.91
365,Hexachloronaphthalene 65,333.8253,334.8331,162.24,Predicted,21.05
366,Hexachloronaphthalene 63,333.8253,334.8331,163.89,Predicted,21.22
367,Hexachloronaphthalene 70,333.8253,334.8331,162.50,Predicted,21.57
368,Benzyl penicillin,334.0982,335.1060,172.90,Measured,24.27
369,Diisohexyl phthalate,334.2139,335.2217,192.57,Predicted,20.14
370,Di-n-hexyl phthalate,334.2139,335.2217,193.18,Predicted,20.74
371,"4,4'-[2,2,2-Trifluoro-1-(trifluoromethyl)ethylidene]bisphenol",336.0580,337.0658,166.06,Measured,13.19
372,Acebutolol,336.2044,337.2122,189.03,Measured,24.52
373,Perindoprilat,340.1993,341.2071,181.33,Predicted,22.8
374,"6,6'-Di-tert-butyl-2,2'-methylenedi-p-cresol",340.2397,341.2475,200.03,Measured,20.47
375,"2,2',4,5',6-Pentachlorodiphenyl Ether",341.8749,342.8827,170.04,Predicted,19.85
376,"2,3',4,5',6-Pentachlorodiphenyl Ether",341.8749,342.8827,170.73,Predicted,19.95
377,"2,2',4,4',6-Pentachlorodiphenyl Ether",341.8749,342.8827,169.65,Predicted,20.03
378,"2,3,4,5,6-Pentachlorodiphenyl Ether",341.8749,342.8827,165.74,Predicted,20.03
379,"2,2',3,4',5-Pentachlorodiphenyl Ether",341.8749,342.8827,172.30,Predicted,20.05
380,"2,2',3',4,6-Pentachlorodiphenyl Ether",341.8749,342.8827,170.16,Predicted,20.09
381,"2,2',3,5,5'-Pentachlorodiphenyl Ether",341.8749,342.8827,172.33,Predicted,20.1
382,"2,3,3',5,5'-Pentachlorodiphenyl Ether",341.8749,342.8827,173.02,Predicted,20.12
383,"2,3,4,4',6-Pentachlorodiphenyl Ether",341.8749,342.8827,168.77,Predicted,20.15
384,"2,2',4,4',5-Pentachlorodiphenyl Ether",341.8749,342.8827,171.90,Predicted,20.24
385,"2,2',4,5,5'-Pentachlorodiphenyl Ether",341.8749,342.8827,172.43,Predicted,20.26
386,"2,2',3,4,5'-Pentachlorodiphenyl Ether",341.8749,342.8827,170.65,Predicted,20.29
387,"2,3',4,5,5'-Pentachlorodiphenyl Ether",341.8749,342.8827,173.39,Predicted,20.32
388,"2,3,4',5,6-Pentachlorodiphenyl Ether",341.8749,342.8827,170.85,Predicted,20.32
389,"2,2',3,4,4'-Pentachlorodiphenyl Ether",341.8749,342.8827,171.03,Predicted,20.33
390,"2,2',3,4,6-Pentachlorodiphenyl Ether",341.8749,342.8827,166.90,Predicted,20.34
391,"2,2',3,3',5-Pentachlorodiphenyl Ether",341.8749,342.8827,172.83,Predicted,20.47
392,"2,2',3,5,6-Pentachlorodiphenyl Ether",341.8749,342.8827,168.85,Predicted,20.5
393,"2,3,3',4,6-Pentachlorodiphenyl Ether",341.8749,342.8827,168.78,Predicted,20.56
394,"2,2',4,6,6'-Pentachlorodiphenyl Ether",341.8749,342.8827,166.65,Predicted,20.57
